Visitor/Neutral,PTS,Home/Neutral,PTS,,,,,,
Utah Jazz,103,Portland Trail Blazers,94,,,,,,
New York Knicks,124,Los Angeles Clippers,115,,,,,,
Boston Celtics,101,Toronto Raptors,102,,,,,,
Washington Wizards,110,Detroit Pistons,115,,,,,,
New Orleans Hornets,75,Sacramento Kings,71,,,,,,
Golden State Warriors,89,Los Angeles Lakers,117,,,,,,
Boston Celtics,99,Atlanta Hawks,76,,,,,,
Indiana Pacers,93,Miami Heat,77,,,,,,
Minnesota Timberwolves,107,Oklahoma City Thunder,117,,,,,,
Phoenix Suns,123,Houston Rockets,116,,,,,,
Orlando Magic,97,San Antonio Spurs,106,,,,,,
Sacramento Kings,83,Utah Jazz,94,,,,,,
Denver Nuggets,106,Golden State Warriors,89,,,,,,
New Orleans Hornets,95,Los Angeles Clippers,99,,,,,,
Cleveland Cavaliers,89,Indiana Pacers,100,,,,,,
Atlanta Hawks,101,New Jersey Nets,107,,,,,,
Philadelphia 76ers,114,Washington Wizards,116,,,,,,
Charlotte Bobcats,107,New York Knicks,110,,,,,,
Detroit Pistons,84,Dallas Mavericks,88,,,,,,
Chicago Bulls,91,Los Angeles Lakers,98,,,,,,
New York Knicks,99,Charlotte Bobcats,95,,,,,,
Milwaukee Bucks,81,Cleveland Cavaliers,83,,,,,,
Philadelphia 76ers,90,Toronto Raptors,106,,,,,,
New Jersey Nets,83,Boston Celtics,89,,,,,,
Miami Heat,95,Orlando Magic,104,,,,,,
Detroit Pistons,84,Memphis Grizzlies,105,,,,,,
San Antonio Spurs,113,Minnesota Timberwolves,109,,,,,,
Dallas Mavericks,111,Oklahoma City Thunder,103,,,,,,
Golden State Warriors,101,Houston Rockets,111,,,,,,
Chicago Bulls,123,Phoenix Suns,115,,,,,,
New Orleans Hornets,87,Utah Jazz,105,,,,,,
Washington Wizards,96,Atlanta Hawks,116,,,,,,
Sacramento Kings,82,Los Angeles Clippers,100,,,,,,
Houston Rockets,89,Charlotte Bobcats,99,,,,,,
Cleveland Cavaliers,100,Orlando Magic,111,,,,,,
Toronto Raptors,101,Boston Celtics,110,,,,,,
Milwaukee Bucks,89,Detroit Pistons,103,,,,,,
Philadelphia 76ers,90,Miami Heat,99,,,,,,
Oklahoma City Thunder,110,Indiana Pacers,106,,,,,,
Dallas Mavericks,103,San Antonio Spurs,94,,,,,,
Chicago Bulls,97,Denver Nuggets,98,,,,,,
Los Angeles Clippers,108,Phoenix Suns,116,,,,,,
Los Angeles Lakers,96,Utah Jazz,102,,,,,,
Golden State Warriors,111,Memphis Grizzlies,116,,,,,,
New Orleans Hornets,97,Portland Trail Blazers,78,,,,,,
Atlanta Hawks,99,New York Knicks,90,,,,,,
Orlando Magic,100,Washington Wizards,99,,,,,,
Memphis Grizzlies,86,Cleveland Cavaliers,92,,,,,,
New Jersey Nets,86,Philadelphia 76ers,102,,,,,,
Golden State Warriors,104,Minnesota Timberwolves,94,,,,,,
Miami Heat,95,Dallas Mavericks,106,,,,,,
Charlotte Bobcats,101,Milwaukee Bucks,104,,,,,,
Chicago Bulls,96,Sacramento Kings,85,,,,,,
Atlanta Hawks,96,Toronto Raptors,78,,,,,,
New York Knicks,125,Detroit Pistons,116,,,,,,
San Antonio Spurs,109,New Orleans Hornets,95,,,,,,
Utah Jazz,109,Los Angeles Clippers,97,,,,,,
Oklahoma City Thunder,98,Houston Rockets,99,,,,,,
Portland Trail Blazers,96,New Jersey Nets,98,,,,,,
Phoenix Suns,133,Denver Nuggets,138,,,,,,
Indiana Pacers,95,Los Angeles Lakers,92,,,,,,
Washington Wizards,94,Miami Heat,105,,,,,,
New Orleans Hornets,89,Oklahoma City Thunder,95,,,,,,
Houston Rockets,91,Dallas Mavericks,101,,,,,,
Milwaukee Bucks,88,Utah Jazz,109,,,,,,
Boston Celtics,106,Cleveland Cavaliers,87,,,,,,
Detroit Pistons,79,Orlando Magic,90,,,,,,
Portland Trail Blazers,79,Philadelphia 76ers,88,,,,,,
New Jersey Nets,100,New York Knicks,111,,,,,,
Los Angeles Lakers,96,Memphis Grizzlies,98,,,,,,
