Visitor/Neutral,PTS,Home/Neutral,PTS,,,,,,
Golden State Warriors,90,New Jersey Nets,94,,,,,,
Oklahoma City Thunder,110,Philadelphia 76ers,105,,,,,,
Utah Jazz,96,Toronto Raptors,94,,,,,,
Los Angeles Clippers,108,Boston Celtics,103,,,,,,
New York Knicks,110,Memphis Grizzlies,108,,,,,,
Cleveland Cavaliers,90,Milwaukee Bucks,110,,,,,,
Indiana Pacers,75,Minnesota Timberwolves,101,,,,,,
Dallas Mavericks,92,New Orleans Hornets,93,,,,,,
Detroit Pistons,104,San Antonio Spurs,111,,,,,,
Orlando Magic,106,Sacramento Kings,102,,,,,,
Los Angeles Lakers,88,Miami Heat,94,,,,,,
New York Knicks,109,Dallas Mavericks,127,,,,,,
Denver Nuggets,116,Phoenix Suns,97,,,,,,
Portland Trail Blazers,92,Charlotte Bobcats,97,,,,,,
Los Angeles Clippers,98,New Jersey Nets,102,,,,,,
Boston Celtics,86,Philadelphia 76ers,89,,,,,,
Indiana Pacers,98,Toronto Raptors,108,,,,,,
Atlanta Hawks,76,Chicago Bulls,94,,,,,,
Utah Jazz,101,Minnesota Timberwolves,122,,,,,,
Detroit Pistons,94,Oklahoma City Thunder,104,,,,,,
Sacramento Kings,103,San Antonio Spurs,108,,,,,,
Orlando Magic,120,Golden State Warriors,123,,,,,,
Memphis Grizzlies,85,Miami Heat,118,,,,,,
Portland Trail Blazers,82,Atlanta Hawks,91,,,,,,
Los Angeles Clippers,122,Washington Wizards,101,,,,,,
Utah Jazz,100,Chicago Bulls,118,,,,,,
Philadelphia 76ers,74,Milwaukee Bucks,102,,,,,,
Sacramento Kings,103,New Orleans Hornets,115,,,,,,
San Antonio Spurs,115,Houston Rockets,107,,,,,,
Los Angeles Lakers,96,Dallas Mavericks,91,,,,,,
Detroit Pistons,101,Denver Nuggets,131,,,,,,
Oklahoma City Thunder,95,Cleveland Cavaliers,75,,,,,,
Charlotte Bobcats,95,Toronto Raptors,90,,,,,,
Orlando Magic,111,Phoenix Suns,88,,,,,,
Milwaukee Bucks,56,Boston Celtics,87,,,,,,
Indiana Pacers,106,New York Knicks,93,,,,,,
Minnesota Timberwolves,77,Golden State Warriors,100,,,,,,
Boston Celtics,79,New Jersey Nets,88,,,,,,
Oklahoma City Thunder,116,Washington Wizards,89,,,,,,
Los Angeles Clippers,82,Memphis Grizzlies,105,,,,,,
San Antonio Spurs,80,Miami Heat,110,,,,,,
Denver Nuggets,114,New Orleans Hornets,103,,,,,,
Phoenix Suns,93,Houston Rockets,95,,,,,,
Philadelphia 76ers,107,Utah Jazz,112,,,,,,
Golden State Warriors,119,Sacramento Kings,129,,,,,,
Orlando Magic,84,Los Angeles Lakers,97,,,,,,
Milwaukee Bucks,85,Atlanta Hawks,110,,,,,,
New York Knicks,117,Indiana Pacers,119,,,,,,
Washington Wizards,79,Chicago Bulls,98,,,,,,
Dallas Mavericks,101,Portland Trail Blazers,104,,,,,,
Denver Nuggets,102,Atlanta Hawks,87,,,,,,
Indiana Pacers,80,Boston Celtics,92,,,,,,
Toronto Raptors,93,Detroit Pistons,107,,,,,,
Oklahoma City Thunder,96,Miami Heat,85,,,,,,
Orlando Magic,93,Milwaukee Bucks,89,,,,,,
Phoenix Suns,95,New Orleans Hornets,100,,,,,,
Charlotte Bobcats,78,Houston Rockets,94,,,,,,
Minnesota Timberwolves,104,Utah Jazz,119,,,,,,
Cleveland Cavaliers,97,Sacramento Kings,93,,,,,,
Dallas Mavericks,112,Golden State Warriors,106,,,,,,
Philadelphia 76ers,104,Los Angeles Clippers,94,,,,,,
Chicago Bulls,84,New Jersey Nets,73,,,,,,
Memphis Grizzlies,99,New York Knicks,120,,,,,,
Cleveland Cavaliers,70,Portland Trail Blazers,111,,,,,,
Chicago Bulls,108,Indiana Pacers,115,,,,,,
Denver Nuggets,82,Orlando Magic,85,,,,,,
Washington Wizards,107,Toronto Raptors,116,,,,,,
Miami Heat,106,Atlanta Hawks,85,,,,,,
New York Knicks,95,Detroit Pistons,99,,,,,,
Charlotte Bobcats,82,Oklahoma City Thunder,99,,,,,,
San Antonio Spurs,97,Dallas Mavericks,91,,,,,,
Boston Celtics,77,Houston Rockets,93,,,,,,
New Jersey Nets,95,Milwaukee Bucks,110,,,,,,
Golden State Warriors,97,Phoenix Suns,108,,,,,,
Philadelphia 76ers,102,Sacramento Kings,80,,,,,,
Minnesota Timberwolves,98,Los Angeles Lakers,106,,,,,,
Cleveland Cavaliers,92,Los Angeles Clippers,100,,,,,,
Denver Nuggets,98,Miami Heat,103,,,,,,
Indiana Pacers,78,Memphis Grizzlies,99,,,,,,
Boston Celtics,89,New Orleans Hornets,85,,,,,,
Charlotte Bobcats,98,San Antonio Spurs,109,,,,,,
Philadelphia 76ers,101,Portland Trail Blazers,110,,,,,,
New Jersey Nets,92,Washington Wizards,98,,,,,,
Detroit Pistons,96,Atlanta Hawks,104,,,,,,
New York Knicks,95,Milwaukee Bucks,100,,,,,,
Phoenix Suns,108,Los Angeles Clippers,99,,,,,,
Sacramento Kings,127,Minnesota Timberwolves,95,,,,,,
Utah Jazz,108,Houston Rockets,110,,,,,,
Toronto Raptors,95,Oklahoma City Thunder,93,,,,,,
Golden State Warriors,73,Dallas Mavericks,101,,,,,,
Portland Trail Blazers,80,Los Angeles Lakers,84,,,,,,
Orlando Magic,97,Cleveland Cavaliers,86,,,,,,
Indiana Pacers,102,New Jersey Nets,98,,,,,,
Boston Celtics,96,New York Knicks,86,,,,,,
Sacramento Kings,92,Chicago Bulls,132,,,,,,
Utah Jazz,85,Memphis Grizzlies,103,,,,,,
Golden State Warriors,96,San Antonio Spurs,111,,,,,,
Toronto Raptors,90,Denver Nuggets,123,,,,,,
Chicago Bulls,114,Atlanta Hawks,81,,,,,,
Washington Wizards,76,Portland Trail Blazers,111,,,,,,
Phoenix Suns,137,Los Angeles Lakers,139,,,,,,
Indiana Pacers,111,Charlotte Bobcats,88,,,,,,
New Jersey Nets,98,Cleveland Cavaliers,94,,,,,,
Atlanta Hawks,100,Philadelphia 76ers,105,,,,,,
Memphis Grizzlies,90,Boston Celtics,87,,,,,,
Miami Heat,100,Detroit Pistons,94,,,,,,
Sacramento Kings,97,Milwaukee Bucks,90,,,,,,
Orlando Magic,111,New York Knicks,99,,,,,,
Utah Jazz,94,Oklahoma City Thunder,106,,,,,,
Golden State Warriors,112,Houston Rockets,131,,,,,,
Toronto Raptors,106,Phoenix Suns,114,,,,,,
San Antonio Spurs,112,Denver Nuggets,115,,,,,,
Washington Wizards,119,Los Angeles Clippers,127,,,,,,
Minnesota Timberwolves,96,Dallas Mavericks,104,,,,,,
New Orleans Hornets,121,Utah Jazz,117,,,,,,
Sacramento Kings,110,Indiana Pacers,93,,,,,,
New Jersey Nets,85,Orlando Magic,95,,,,,,
Charlotte Bobcats,83,Boston Celtics,81,,,,,,
Detroit Pistons,91,Cleveland Cavaliers,97,,,,,,
Philadelphia 76ers,99,Miami Heat,111,,,,,,
Milwaukee Bucks,102,New York Knicks,96,,,,,,
Memphis Grizzlies,96,Chicago Bulls,99,,,,,,
Minnesota Timberwolves,103,Oklahoma City Thunder,111,,,,,,
Washington Wizards,94,Denver Nuggets,114,,,,,,
New Orleans Hornets,106,Phoenix Suns,100,,,,,,
San Antonio Spurs,96,Portland Trail Blazers,98,,,,,,
Toronto Raptors,100,Golden State Warriors,138,,,,,,
Los Angeles Clippers,104,Los Angeles Lakers,112,,,,,,
New Jersey Nets,87,Atlanta Hawks,98,,,,,,
New York Knicks,106,Charlotte Bobcats,114,,,,,,
Indiana Pacers,88,Detroit Pistons,100,,,,,,
Chicago Bulls,95,Milwaukee Bucks,87,,,,,,
Dallas Mavericks,94,Utah Jazz,77,,,,,,
Toronto Raptors,90,Los Angeles Clippers,94,,,,,,
Sacramento Kings,114,Philadelphia 76ers,111,,,,,,
Atlanta Hawks,99,Cleveland Cavaliers,83,,,,,,
San Antonio Spurs,104,Memphis Grizzlies,111,,,,,,
Houston Rockets,119,Miami Heat,125,,,,,,
Boston Celtics,85,Minnesota Timberwolves,82,,,,,,
Portland Trail Blazers,90,Oklahoma City Thunder,99,,,,,,
Washington Wizards,104,Golden State Warriors,114,,,,,,
New Orleans Hornets,84,Los Angeles Lakers,102,,,,,,
Dallas Mavericks,91,Phoenix Suns,83,,,,,,
Milwaukee Bucks,86,Charlotte Bobcats,87,,,,,,
Boston Celtics,100,Indiana Pacers,107,,,,,,
Orlando Magic,106,New York Knicks,113,,,,,,
Philadelphia 76ers,97,Chicago Bulls,85,,,,,,
Portland Trail Blazers,100,San Antonio Spurs,92,,,,,,
Washington Wizards,100,Utah Jazz,95,,,,,,
Miami Heat,90,Cleveland Cavaliers,102,,,,,,
Houston Rockets,112,New Jersey Nets,87,,,,,,
Golden State Warriors,114,Oklahoma City Thunder,115,,,,,,
Phoenix Suns,113,Sacramento Kings,116,,,,,,
Orlando Magic,82,Atlanta Hawks,85,,,,,,
Cleveland Cavaliers,97,Charlotte Bobcats,98,,,,,,
Detroit Pistons,101,Indiana Pacers,111,,,,,,
Houston Rockets,97,Philadelphia 76ers,108,,,,,,
Milwaukee Bucks,104,Toronto Raptors,98,,,,,,
Miami Heat,123,Washington Wizards,107,,,,,,
New Jersey Nets,116,New York Knicks,120,,,,,,
Golden State Warriors,91,Memphis Grizzlies,110,,,,,,
Chicago Bulls,108,Minnesota Timberwolves,91,,,,,,
Portland Trail Blazers,91,New Orleans Hornets,95,,,,,,
Sacramento Kings,90,Denver Nuggets,104,,,,,,
Oklahoma City Thunder,116,Phoenix Suns,98,,,,,,
Dallas Mavericks,106,Los Angeles Clippers,100,,,,,,
Boston Celtics,107,San Antonio Spurs,97,,,,,,
Dallas Mavericks,82,Los Angeles Lakers,110,,,,,,
Milwaukee Bucks,88,Indiana Pacers,89,,,,,,
Charlotte Bobcats,77,Orlando Magic,89,,,,,,
New Jersey Nets,90,Philadelphia 76ers,115,,,,,,
Cleveland Cavaliers,107,Washington Wizards,115,,,,,,
Chicago Bulls,101,Detroit Pistons,96,,,,,,
Boston Celtics,83,Atlanta Hawks,88,,,,,,
Miami Heat,111,Minnesota Timberwolves,92,,,,,,
Memphis Grizzlies,93,New Orleans Hornets,81,,,,,,
San Antonio Spurs,114,Houston Rockets,119,,,,,,
Los Angeles Clippers,98,Phoenix Suns,111,,,,,,
Oklahoma City Thunder,91,Portland Trail Blazers,98,,,,,,
Denver Nuggets,99,Sacramento Kings,90,,,,,,
Los Angeles Lakers,96,Utah Jazz,85,,,,,,
Toronto Raptors,106,Chicago Bulls,113,,,,,,
Minnesota Timberwolves,89,Memphis Grizzlies,106,,,,,,
Philadelphia 76ers,87,Milwaukee Bucks,93,,,,,,
Dallas Mavericks,92,Golden State Warriors,99,,,,,,
Oklahoma City Thunder,92,Los Angeles Clippers,98,,,,,,
Phoenix Suns,97,San Antonio Spurs,114,,,,,,
Denver Nuggets,95,Los Angeles Lakers,90,,,,,,
Detroit Pistons,90,Boston Celtics,101,,,,,,
Washington Wizards,97,Charlotte Bobcats,91,,,,,,
Miami Heat,108,New Jersey Nets,94,,,,,,
Cleveland Cavaliers,107,New York Knicks,123,,,,,,
Utah Jazz,97,Sacramento Kings,106,,,,,,
Orlando Magic,98,Toronto Raptors,102,,,,,,
Atlanta Hawks,109,Houston Rockets,114,,,,,,
Indiana Pacers,96,New Orleans Hornets,108,,,,,,
Dallas Mavericks,96,Portland Trail Blazers,104,,,,,,
San Antonio Spurs,97,Atlanta Hawks,90,,,,,,
Charlotte Bobcats,89,Cleveland Cavaliers,99,,,,,,
Minnesota Timberwolves,105,New Jersey Nets,107,,,,,,
Milwaukee Bucks,72,Orlando Magic,78,,,,,,
Detroit Pistons,105,Washington Wizards,107,,,,,,
Philadelphia 76ers,82,Boston Celtics,99,,,,,,
Toronto Raptors,118,New York Knicks,131,,,,,,
Phoenix Suns,94,Chicago Bulls,97,,,,,,
Los Angeles Clippers,82,Memphis Grizzlies,81,,,,,,
Sacramento Kings,104,Houston Rockets,101,,,,,,
Oklahoma City Thunder,101,Denver Nuggets,94,,,,,,
Golden State Warriors,108,Portland Trail Blazers,87,,,,,,
Utah Jazz,86,Los Angeles Lakers,85,,,,,,
Orlando Magic,111,Charlotte Bobcats,102,,,,,,
Washington Wizards,112,Indiana Pacers,136,,,,,,
New York Knicks,97,Philadelphia 76ers,92,,,,,,
Cleveland Cavaliers,104,Toronto Raptors,96,,,,,,
New Jersey Nets,109,Detroit Pistons,116,,,,,,
Milwaukee Bucks,90,Miami Heat,85,,,,,,
Phoenix Suns,108,Minnesota Timberwolves,98,,,,,,
Houston Rockets,93,New Orleans Hornets,101,,,,,,
Los Angeles Clippers,108,Oklahoma City Thunder,112,,,,,,
Denver Nuggets,104,Dallas Mavericks,96,,,,,,
Sacramento Kings,92,San Antonio Spurs,124,,,,,,
Los Angeles Lakers,87,Golden State Warriors,95,,,,,,
Boston Celtics,81,Chicago Bulls,97,,,,,,
Portland Trail Blazers,98,Utah Jazz,87,,,,,,
Atlanta Hawks,102,Indiana Pacers,114,,,,,,
New York Knicks,116,New Jersey Nets,93,,,,,,
Toronto Raptors,93,Philadelphia 76ers,98,,,,,,
Washington Wizards,88,Boston Celtics,104,,,,,,
Chicago Bulls,93,Cleveland Cavaliers,82,,,,,,
Milwaukee Bucks,100,Detroit Pistons,110,,,,,,
Charlotte Bobcats,103,Miami Heat,112,,,,,,
Sacramento Kings,96,Memphis Grizzlies,101,,,,,,
Phoenix Suns,97,New Orleans Hornets,109,,,,,,
Denver Nuggets,89,Oklahoma City Thunder,104,,,,,,
Los Angeles Clippers,96,Dallas Mavericks,107,,,,,,
Los Angeles Lakers,86,Portland Trail Blazers,93,,,,,,
Atlanta Hawks,83,Washington Wizards,115,,,,,,
Los Angeles Clippers,78,Houston Rockets,99,,,,,,
Cleveland Cavaliers,101,Milwaukee Bucks,108,,,,,,
Utah Jazz,102,San Antonio Spurs,111,,,,,,
Minnesota Timberwolves,106,Denver Nuggets,130,,,,,,
Chicago Bulls,102,Orlando Magic,99,,,,,,
Boston Celtics,77,Miami Heat,100,,,,,,
Detroit Pistons,112,Charlotte Bobcats,101,,,,,,
New Orleans Hornets,89,Memphis Grizzlies,111,,,,,,
New Jersey Nets,92,Toronto Raptors,99,,,,,,
New York Knicks,110,Indiana Pacers,109,,,,,,
Phoenix Suns,90,Dallas Mavericks,115,,,,,,
Sacramento Kings,104,Golden State Warriors,103,,,,,,
Oklahoma City Thunder,120,Los Angeles Lakers,106,,,,,,
Miami Heat,98,Atlanta Hawks,90,,,,,,
Charlotte Bobcats,105,New Jersey Nets,103,,,,,,
Orlando Magic,95,Philadelphia 76ers,85,,,,,,
Boston Celtics,94,Washington Wizards,95,,,,,,
Cleveland Cavaliers,110,Detroit Pistons,101,,,,,,
Toronto Raptors,86,Milwaukee Bucks,93,,,,,,
Utah Jazz,90,New Orleans Hornets,78,,,,,,
Dallas Mavericks,98,Houston Rockets,91,,,,,,
Golden State Warriors,111,Denver Nuggets,134,,,,,,
Minnesota Timberwolves,127,Phoenix Suns,135,,,,,,
Oklahoma City Thunder,120,Sacramento Kings,112,,,,,,
Chicago Bulls,103,New York Knicks,90,,,,,,
Memphis Grizzlies,89,Portland Trail Blazers,102,,,,,,
San Antonio Spurs,93,Los Angeles Lakers,102,,,,,,
New York Knicks,102,Boston Celtics,112,,,,,,
Atlanta Hawks,85,Charlotte Bobcats,96,,,,,,
New Jersey Nets,92,Chicago Bulls,97,,,,,,
Washington Wizards,93,Cleveland Cavaliers,100,,,,,,
New Orleans Hornets,89,Dallas Mavericks,121,,,,,,
Houston Rockets,121,Minnesota Timberwolves,102,,,,,,
Milwaukee Bucks,110,Oklahoma City Thunder,106,,,,,,
Indiana Pacers,74,Orlando Magic,92,,,,,,
Detroit Pistons,104,Philadelphia 76ers,100,,,,,,
Miami Heat,97,Toronto Raptors,79,,,,,,
Denver Nuggets,103,Utah Jazz,107,,,,,,
Portland Trail Blazers,86,Golden State Warriors,110,,,,,,
Memphis Grizzlies,103,Los Angeles Clippers,110,,,,,,
San Antonio Spurs,103,Phoenix Suns,106,,,,,,
Los Angeles Lakers,116,Sacramento Kings,108,,,,,,
